Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
"If a pole 6 m high casts a shadow 2 3 m long on the ground, then the sun’s elevation is:",30°,45°,60°,90°,60°,Substituting the given values for “If a pole 6 m high casts” gives 60°.,Mathematics,DA2AB/2
The total surface area of a cube of side 20 cm is,240 cm 2,160 cm 2,2400 cm 2,1600 cm 2,1600 cm 2,The stated mensuration formula evaluates to 1600 cm 2.,Mathematics,DA2AB/2
cot θ + tan θ equals,cosec θ × sec θ,sin θ × sec θ,cos θ × tan θ,sin θ × cos θ,cosec θ × sec θ,Using the standard trigonometric identity gives cosec θ × sec θ.,Mathematics,EF3GH
"If x = LCM(4, 6, 8), y = LCM(3, 5, 7), and p = xy, then which relation is correct?",p = 35x,p = 4y,p = 8x,p = 16y,p = 35x,Prime factorisation of the stated numbers gives p = 35x.,Mathematics,EF3GH
"If tangents PA and PB drawn from an external point P to the circle with centre O are inclined to each other at an angle of 80 as shown in the given figure, then the measure of POA is",40,50,60,80,50,Favourable outcomes divided by all equally likely outcomes gives 50.,Mathematics,EF3GH
"If the area of a sector of circle of radius 36 cm is 54 cm2, then the length of the corresponding arc of the sector is",8 cm,6 cm,4 cm,3 cm,3 cm,The relevant circle measure for “If the area of a sector of” is 3 cm.,Mathematics,EF3GH
"If the volumes of two cubes are in the ratio 8 : 125, then the ratio of their surface areas is",0.420138889,04:25,02:05,16:25,04:25,The stated mensuration formula evaluates to 4 : 25.,Mathematics,EF3GH
The measurements of LMN and ABC are shown in the figure given below. The length of side AC is,16 cm,7 cm,8 cm,4 cm,8 cm,Substituting the given values for “The measurements of LMN and ABC are” gives 8 cm.,Mathematics,EF3GH
"A system of two linear equations in two variables is inconsistent, if the lines in the graph are",coincident,parallel,intersecting at one point,intersecting at right angles,parallel,Substituting the given values for “A system of two linear equations in” gives parallel.,Mathematics,EF3GH
"If sin 4θ = √3/2 and θ is acute, then θ/3 equals",60°,20°,15°,5°,5°,Using the standard trigonometric identity gives 5°.,Mathematics,EF3GH
"If the mean of 2, 9, x+6, 2x+3, 5, 10, 5 is 7, then the value of x is",9,6,5,3,3,Substituting the given data in the statistics formula gives 3.,Mathematics,EF3GH
"If the mid-point of the line segment joining the points (a, 4) and (2, 2b) is (2, 6), then the value of (a + b) is given by",6,7,8,16,6,The coordinate formula for “If the mid point of the line” gives 6.,Mathematics,EF3GH
"If 3x = 0, then the values of x are",6,4,12,3,6,Substituting the given values for “If 3x 0 then the values of” gives 6.,Mathematics,EF3GH
"The mean of seven observations is 17. If the mean of the first four observations is 15 and that of the last four observations is 18, then the fourth observation is",14,13,12,10,13,Substituting the given data in the statistics formula gives 13.,Mathematics,EF3GH
The diameter of a wheel is 63 cm. The distance travelled by the wheel in 100 revolutions is,99 m,198 m,63 m,136 m,198 m,The coordinate formula for “The diameter of a wheel is 63” gives 198 m.,Mathematics,EF3GH
"3n, where n is a natural number, cannot end with the digit",3,5,7,9 3.A prime number has,5,Substituting the given values for “3n where n is a natural number” gives 5.,Mathematics,EF3GH
"For a distribution, if mean = 15 and mode = 12, then its median is",12,13,14,15,14,Substituting the given data in the statistics formula gives 14.,Mathematics,EF3GH
"If p = 23 × 32 × 5 and q = 22 × 33, then the LCM of p and q is",23 × 33,22 × 32,22 × 32 × 5,23 × 33 × 5,23 × 33 × 5,Prime factorisation of the stated numbers gives 23 × 33 × 5.,Mathematics,EF3GH
sum outcomes in favour of event E is,4,6,10,26,10,Substituting the given values for “sum outcomes in favour of event E” gives 10.,Mathematics,EF3GH
Which types of triangles are always similar?,Right-angled triangles,Acute-angled triangles,Isosceles triangles,Equilateral triangles,Equilateral triangles,Substituting the given values for “Which types of triangles are always similar” gives Equilateral triangles.,Mathematics,EF3GH
A prime number has,exactly two prime factors,exactly one prime factor,at least one prime factor,at least two prime factors,exactly one prime factor,Substituting the given values for “A prime number has” gives exactly one prime factor.,Mathematics,EF3GH
"In the given figure, chord AB of the larger circle touches the smaller circle at C. If both the circles have the same centre O, then the length of BD is",1 cm,2 cm,3 cm,4 cm 6.CA?,2 cm,The relevant circle measure for “In the given figure chord AB of” is 2 cm.,Mathematics,EF3GH
outcomes in favour of event E is,4,6,10,26,10,Substituting the given values for “outcomes in favour of event E is” gives 10.,Mathematics,EF3GH
How many tangents can be drawn from the point P on the outer circle to the inner circle in the given figure?,0,1,2,Infinite,2,Favourable outcomes divided by all equally likely outcomes gives 2.,Mathematics,EF3GH
"If (x + 1)3 = x3 + 1 is expressed as a quadratic equation in the form px2 + qx + r = 0, then the value of p q + r is",0,1,3,6,0,Substituting the given values for “If x 1 3 x3 1 is” gives 0.,Mathematics,EF3GH
The following table shows the marks scored by 23 students of a class. Marks 0 10 10 20 20 30 30 40 40 50 Number of Students 5 3 4 8 3 The lower limit of the modal class is,10,20,30,40,30,Substituting the given values for “The following table shows the marks scored” gives 30.,Mathematics,EF3GH
The perimeter of a quadrant of a circle of circumference 22 cm is,29 cm,22 cm,12·5 cm,5·5 cm,12·5 cm,The relevant circle measure for “The perimeter of a quadrant of a” is 12·5 cm.,Mathematics,EF3GH
The system of linear equations given by x = a and y = b is,Consistent with a unique solution.,Consistent with infinitely many solutions.,Consistent with two solutions.,Inconsistent.,Consistent with a unique solution.,Substituting the given values for “The system of linear equations given by” gives Consistent with a unique solution..,Mathematics,EF3GH
The value of for which sin 2 = tan 45 is,22·5,30,45,90,45,Using the standard trigonometric identity gives 45.,Mathematics,EF3GH
"If the first term of an A.P. is ‘a’ and its common difference is ‘b’, then its 10 th term is",a + 10b,10a + b,a + 9b,9a + b,a + 9b,Applying the arithmetic-progression relation gives a + 9b.,Mathematics,EFGH/S
"The next term of the A.P. 5 , 20 , 45 , ..... i s",60,4 5,75,125,4 5,Applying the arithmetic-progression relation gives 4 5.,Mathematics,EFGH/S
Two different coins are tossed together. The probability of getting exactly one tail is,1 4,1 2,3 4,1,1 2,Favourable outcomes divided by all equally likely outcomes gives 1 2.,Mathematics,EFGH/S
A fair die is thrown once. The probability of getting an even number less than 3 is,1 6,1 3,1 2,0,1 6,Favourable outcomes divided by all equally likely outcomes gives 1 6.,Mathematics,EFGH/S
"The 20 th term of the A.P. – 4, – 7, – 10, – 13, ...... is",53,56,– 61,– 64,– 61,Applying the arithmetic-progression relation gives – 61.,Mathematics,EFGH/S
"The formula : l + 1 0 1 0 2 f – f 2f – f – f % h, where symbols have their usual meanings, is used to calculate",Mean of a grouped data .,Median of a grouped data .,Mode of a grouped data .,Range of a grouped data . • • •,Mode of a grouped data .,Substituting the given data in the statistics formula gives Mode of a grouped data ..,Mathematics,EFGH/S
Two different coins are tossed together . T he probability of getting at least one head is,1 2,1 4,3 4,1 • • •,3 4,Favourable outcomes divided by all equally likely outcomes gives 3 4.,Mathematics,EFGH/S
A fair die is thrown once. The probability of getting a prime number less than 5 is,1 6,1 3,1 2,1,1 3,Favourable outcomes divided by all equally likely outcomes gives 1 3.,Mathematics,EFGH/S
"If ( 1 2 , 6) is the mid - point of the line segment joining ( – 5, k) and (6, 3) , then the value of ‘k’ is",0,3,9 2,9,0,Substituting the given values for “If 1 2 6 is the mid” gives 0.,Mathematics,EFGH/S
"The next term of the A.P. 7 , 28 , 63 , ...... is",81,126,112,5 7,112,Applying the arithmetic-progression relation gives 112.,Mathematics,EFGH/S
A cylindrical pencil sharpened at one edge is a combination of,two cylinders,a hemisphere and a cone,a cylinder and a cone,a hemisphere and a cylinder,two cylinders,Substituting the given values for “A cylindrical pencil sharpened at one edge” gives two cylinders.,Mathematics,EFGH/S
"If 4 tan A = 3, then 4 sin A cos A 4 sin A cos A – + is equal to",2 3,1 3,1 2,3 4,1 2,Using the standard trigonometric identity gives 1 2.,Mathematics,EFGH/S
The empirical relationship between the three measures of central tendency is,3 Median = Mode + 2 Mean,2 Median = Mode + 2 Mean,3 Median = Mode + Mean,3 Median = Mode – 2 Mean,3 Median = Mode + Mean,Substituting the given values for “The empirical relationship between the three measures” gives 3 Median = Mode + Mean.,Mathematics,EFGH/S
"The greatest possible speed at which a man can walk 78 m and 104 m in exact number of minutes, is",17 m/min,13 m/min,26 m/min,39 m/min,26 m/min,Substituting the given values for “The greatest possible speed at which a” gives 26 m/min.,Mathematics,EFGH/S
"The points ( – 4, 0 ), (4, 0) and (0, – 3) are the vertices of a/an",right-angled triangle,isosceles triangle,equilateral triangle,scalene triangle,isosceles triangle,Substituting the given values for “The points 4 0 4 0 and” gives isosceles triangle.,Mathematics,EFGH/S
"Cards numbered 10, 11, 12, ..., 30 are kept in a box and shuffled thoroughly. Rohit draws a card at random from the box. The probability that the number on the card is a multiple of 4 or 5 is",9 20,9 21,10 20,10 21,9 21,Favourable outcomes divided by all equally likely outcomes gives 9 21.,Mathematics,EFGH/S
"If the perimeter of a square is equal to that of a circle, then the ratio of their areas is",07:22,11:14,22:07,14:11,11:14,The relevant circle measure for “If the perimeter of a square is” is 11 : 14.,Mathematics,EFGH/S
"If the sum of the first ‘n’ terms of an AP is 2n 2 + 5n, then its common difference is",2,4,5,7,4,Applying the arithmetic-progression relation gives 4.,Mathematics,EFGH/S
"In the given figure, PQ and PR are tangents to the circle such that PQ = 7 cm and ∠ RPQ = 60 ° . The length of chord QR is",5 cm,7 cm,9 cm,14 cm,7 cm,The relevant circle measure for “In the given figure PQ and PR” is 7 cm.,Mathematics,EFGH/S
"M is a point on the y-axis, 4 units below the x-axis. The distance of M from Q(5, 1) is",√2 units,√34 units,√50 units,√90 units,√50 units,The coordinate formula for “M is a point on the y” gives √50 units.,Mathematics,EFGH/S
"The 6 th term of the AP 27 , 75 , 147 , ... is",243,363,300,507,507,Applying the arithmetic-progression relation gives 507.,Mathematics,EFGH/S
The total number of factors of the square of a prime number is,1,2,3,4,3,Substituting the given values for “The total number of factors of the” gives 3.,Mathematics,EFGH/S
"The value of ‘k’ for which the pair of linear equations (k + 1)x + 2(1 – k)y = 15; 4y = 3x – 8 has no s olution, is",3,1 5,5,37 8,5,Substituting the given values for “The value of k for which the” gives 5.,Mathematics,EFGH/S
Two dice are thrown simultaneously and the product of the numbers appearing on the tops is noted. The probability of the product to be less than 6 is,1 6,1 4,5 18,7 18,5 18,Favourable outcomes divided by all equally likely outcomes gives 5 18.,Mathematics,EFGH/S
"ABC is a triangle. B lies on x - axis at a distance of 4 units from y - axis at its right. C is on y - axis and it is 3 units away from the origin. If the coordinates of A are (0, 0), the perimeter of D ABC is",7 units,12 units,6 units,15 units,12 units,The coordinate formula for “ABC is a triangle B lies on” gives 12 units.,Mathematics,EFGH/S
"If the pair of linear equations 2 x + 3 y = 5 and 4 ky – (1 – 3 k ) x = 6 k + 2 represents coincident lines, then the value of ‘k’ is",1 – 3,3,1 4,4,3,Substituting the given values for “If the pair of linear equations 2” gives 3.,Mathematics,EFGH/S
"In the given figure, D ABC and D PQR will be similar, if",Length of side BC is 4 2 cm,BC : RQ = 2 :,Measure of ∠ A is 35 °,Measure of ∠ A is 110 °,Measure of ∠ A is 110 °,Substituting the given values for “In the given figure D ABC and” gives Measure of ∠ A is 110 °.,Mathematics,EFGH/S
The difference between the areas of a semicircle of diameter 2r units and the largest triangle drawn inside the semicircle is,2 4r 7 sq. units,2 15r 7 sq. units,2 15r 14 sq. units,2 37r 14 sq. units,2 4r 7 sq. units,Favourable outcomes divided by all equally likely outcomes gives 2 4r 7 sq. units.,Mathematics,EFGH/S
"Which term of the AP 7, 10, 13, ..... is 52?",13 th,15 th,16 th,17 th,16 th,Applying the arithmetic-progression relation gives 16 th.,Mathematics,EFGH/S
"A circle with centre P(4, 5) passes through the point A(0, 9). The length of the diagonal of the largest square inside this circle is",4√2 units,8√2 units,√53 units,2√53 units,8√2 units,The relevant circle measure for “A circle with centre P 4 5” is 8√2 units.,Mathematics,EFGH/S
"If the 23 rd term of an AP exceeds its 16 th term by 21, then the common difference is",1,2,3,7,3,Applying the arithmetic-progression relation gives 3.,Mathematics,EFGH/S
"In the given figure, PQ | |SR. The value of x is",3,5,6,7,7,Substituting the given values for “In the given figure PQ SR The” gives 7.,Mathematics,EFGH/S
The pair of linear equations 9 x – 15 y + 19 = 0 and 5y – 3x – 9 = 0 represents two lines which are,intersecting exactly at one point .,intersecting exactly at two points.,parallel.,coincident.,parallel.,Substituting the given values for “The pair of linear equations 9 x” gives parallel..,Mathematics,EFGH/S
"If 7 cos2 + 3 sin2 = 4, then the value of is",30,45,60,90,60,Using the standard trigonometric identity gives 60.,Mathematics,EGFH2
"In the given figure, PQ| |BC. If = and AC = 20·4 cm, then the length of AQ is",2·8 cm,5·8 cm,3·8 cm,4·8 cm,4·8 cm,Substituting the given values for “In the given figure PQ BC If” gives 4·8 cm.,Mathematics,EGFH2
"In the given figure, RS is the tangent to the circle at the point L and MN is the diameter. If NML = 30, then RLM is",30,60,90,120,60,The relevant circle measure for “In the given figure RS is the” is 60.,Mathematics,EGFH2
"The least number which is a perfect square and is divisible by each of 16, 20 and 50, is",1200,100,3600,2400,2400,Substituting the given values for “The least number which is a perfect” gives 2400.,Mathematics,EGFH2
The line represented by the equation x y = 0 is,parallel to x-axis,parallel to y-axis,passing through the origin,passing through the point (3,passing through the origin,Substituting the given values for “The line represented by the equation x” gives passing through the origin.,Mathematics,EGFH2
Which of the following statements is incorrect?,Two congruent figures are always similar.,A square and a rhombus of the same area are always similar.,Two equilateral triangles are always similar.,Two similar triangles need not be congruent. 10.The sum of the exponents of prime factors in the prime factorisation of 4004 is,A square and a rhombus of the same area are always similar.,Substituting the given values for “Which of the following statements is incorrect” gives A square and a rhombus of the same area are always similar..,Mathematics,EGFH2
"If a large circular pizza is divided into 5 equal sectors, then the central angle of each sector will be",60,90,45,72,72,The relevant circle measure for “If a large circular pizza is divided” is 72.,Mathematics,EGFH2
The 9th term from the end (towards first term) of the AP,135,125,115,39,115,Applying the arithmetic-progression relation gives 115.,Mathematics,EGFH2
"If an arc of a circle of diameter 10 cm subtends an angle of 144 at the centre of the circle, then the length of the arc is",2 cm,4 cm,5 cm,6 cm,4 cm,The relevant circle measure for “If an arc of a circle of” is 4 cm.,Mathematics,EGFH2
The sum of the exponents of prime factors in the prime factorisation of 4004 is,5,4,3,2,5,Substituting the given values for “The sum of the exponents of prime” gives 5.,Mathematics,EGFH2
"DE | | BC, AD = 1·5 cm, DB = 3 cm EC = 2 cm AC",1·5 cm,3 cm,3·5 cm,4·5 cm,3 cm,Substituting the given values for “DE BC AD 1 5 cm DB” gives 3 cm.,Mathematics,EGFH2
"For a distribution, if mean = median = a, then its mode is",3a,2a,a,0,a,Substituting the given data in the statistics formula gives a.,Mathematics,EGFH2
In the formula of mode given by mode = l + f1 denotes the,frequency of the modal class,frequency of class preceding modal class,frequency of class succeeding modal class,cumulative frequency of modal class,frequency of the modal class,Substituting the given data in the statistics formula gives frequency of the modal class.,Mathematics,EGFH2
"In the given figure, if DE | | BC, AD = 1·5 cm, DB = 3 cm and EC = 2 cm, the length of AC is",1·5 cm,3 cm,3·5 cm,4·5 cm,3 cm,Substituting the given values for “In the given figure if DE BC” gives 3 cm.,Mathematics,EGFH2
"In two concentric circles, a tangent to the smaller circle will intersect the larger circle at",zero point,one point,two points,three points,two points,The relevant circle measure for “In two concentric circles a tangent to” is two points.,Mathematics,EGFH2
"The number 2n, where n is a natural number, cannot end with the digit",4,6,2,0,0,Substituting the given values for “The number 2n where n is a” gives 0.,Mathematics,EGFH2
on a solid cylinder of same dimensions. The total surface area of the entire solid will be,2rh + r,2rh + r2 + r,2rh + 2r2 + r,2rh + r r2,2rh + r2 + r,The stated mensuration formula evaluates to 2rh + r2 + r.,Mathematics,EGFH2
"The mid-point of the line segment joining points (1, 3) and (1, 3) lies",at the origin,in the second quadrant,on x-axis,on y-axis,on x-axis,The coordinate formula for “The mid point of the line segment” gives on x-axis.,Mathematics,EGFH2
"The number 3n, where n is a natural number cannot end with the digit",1,3,5,7,5,Substituting the given values for “The number 3n where n is a” gives 5.,Mathematics,EGFH2
"The number of solutions of the system of equations x = 3, y = 1 is",0,1,2,Infinite,1,Substituting the given values for “The number of solutions of the system” gives 1.,Mathematics,EGFH2
"If the number an, where n is a natural number, always ends with digit a",2,4,6,8,6,Substituting the given values for “If the number an where n is” gives 6.,Mathematics,EGFH2
"In the given figure, the shaded region represents",minor sector,major sector,minor segment,major segment,minor segment,Substituting the given values for “In the given figure the shaded region” gives minor segment.,Mathematics,EGFH2
radius. The total surface area of the entire solid will be,rh + r2,r + r2,r + 2r2,r + 3r2,r + 2r2,The stated mensuration formula evaluates to r + 2r2.,Mathematics,EGFH2
"The number of solutions of the system of equations x = a, x = b (a b) is",0,1,2,Infinite,0,Substituting the given values for “The number of solutions of the system” gives 0.,Mathematics,EGFH2
"If the sum of first m terms of an AP is 2m2 + 3m, then its second term is",10,9,12,4,9,Applying the arithmetic-progression relation gives 9.,Mathematics,GE1FH
"Mode and Mean of a data are 15x and 18x, respectively. Then the median of the data is",x,11x,17x,34x,17x,Substituting the given data in the statistics formula gives 17x.,Mathematics,GE1FH
"A ladder 14 m long leans against a wall. If the foot of the ladder is 7 m from the wall, then the angle of elevation of the top of the wall is",15,30,45,60,60,Substituting the given values for “A ladder 14 m long leans against” gives 60.,Mathematics,GE1FH
An arc of a circle is of length 5 cm and the sector it bounds has an area of 20 cm2. Its radius is,10 cm,1 cm,5 cm,8 cm,8 cm,The relevant circle measure for “An arc of a circle is of” is 8 cm.,Mathematics,GE1FH
"If the length of a chord of a circle is equal to its radius, then the angle subtended by chord at the centre is",60,30,120,90,60,The relevant circle measure for “If the length of a chord of” is 60.,Mathematics,GE1FH
"If x = 1 and y = 2 is a solution of the pair of linear equations 2x 3y + a = 0 and 2x + 3y b = 0, then",a = 2b,2a = b,a + 2b = 0,2a + b = 0,2a = b,Substituting the given values for “If x 1 and y 2 is” gives 2a = b.,Mathematics,GE1FH
"The greatest number which divides 70 and 125, leaving remainders 5 and 8 respectively, is",13,65,875,1750,13,Substituting the given values for “The greatest number which divides 70 and” gives 13.,Mathematics,GE1FH
"The midpoint of the line segment joining P(−4, 5) and Q(4, 6) lies on",x-axis,y-axis,origin,neither x-axis nor y-axis,y-axis,The coordinate formula for “The midpoint of the line segment joining” gives y-axis.,Mathematics,GE1FH
Three numbers in an arithmetic progression have a sum of 30. What is the middle term?,4,10,16,8,10,Applying the arithmetic-progression relation gives 10.,Mathematics,GE1FH
A piece of wire 20 cm long is bent into the form of an arc of a circle of radius cm. The angle subtended by the arc at the centre of the circle is,30,60,90,50,60,The relevant circle measure for “A piece of wire 20 cm long” is 60.,Mathematics,GE1FH
"If (−1)ⁿ + (−1)⁸ = 0, then n is",any positive integer,any negative integer,any odd number,any even number,any odd number,Substituting the given values for “If 1 1 0 then n is” gives any odd number.,Mathematics,GE1FH
"If a sector of a circle has an area of 40 sq. units and a central angle of 72, the radius of the circle is",200 units,100 units,20 units,102 units,102 units,The relevant circle measure for “If a sector of a circle has” is 102 units.,Mathematics,GE1FH
"If HCF(98, 28) = m and LCM(98, 28) = n, then the value of n − 7m is",0,28,98,198,98,Prime factorisation of the stated numbers gives 98.,Mathematics,GE1FH
"If is an acute angle and 7 + 4 sin = 9, then the value of is",90,30,45,60,30,Using the standard trigonometric identity gives 30.,Mathematics,GE1FH
"In the given figure, PA is a tangent from an external point P to a circle with centre O. If POB = 115, then APO is equal to",25,65,90,35,25,The relevant circle measure for “In the given figure PA is a” is 25.,Mathematics,GE1FH
"In triangles ABC and DEF, B = E, F = C and AB = 3 DE. Then, the two triangles are",congruent but not similar,congruent as well as similar,neither congruent nor similar,similar but not congruent,similar but not congruent,Substituting the given values for “In triangles ABC and DEF B E” gives similar but not congruent.,Mathematics,GE1FH
"The 11th and 13th term of an AP are 39 and 45, respectively. What is the common difference of the AP?",42,21,6,3,3,Applying the arithmetic-progression relation gives 3.,Mathematics,GE1FH
The tangents drawn at the extremities of the diameter of a circle are always,parallel,perpendicular,equal,intersecting,parallel,Favourable outcomes divided by all equally likely outcomes gives parallel.,Mathematics,GE1FH
Two polynomials are shown in the graph below. The number of distinct zeroes of both the polynomials is,3,5,2,4,2,Substituting the given values for “Two polynomials are shown in the graph” gives 2.,Mathematics,GE1FH
"What is the mode of a data if median and mean of the same data are 9·6 and 10·5, respectively?",7·8,12·3,8·4,7,7·8,Substituting the given data in the statistics formula gives 7·8.,Mathematics,GE1FH
For which of the following solids is the lateral / curved surface area and total surface area the same?,Cube,Cuboid,Hemisphere,Sphere,Sphere,The stated mensuration formula evaluates to Sphere.,Mathematics,GE1FH
"In a random experiment of throwing a die, which of the following is a sure event?",Getting a number between 1 and 6,Getting an odd number < 7,Getting an even number < 7,Getting a natural number < 7 1920 (A) (R),Getting a number between 1 and 6,Substituting the given values for “In a random experiment of throwing a” gives Getting a number between 1 and 6.,Mathematics,GE1FH
Which of the following is not the criterion for similarity of triangles?,AAA,SSS,SAS,RHS,SAS,Substituting the given values for “Which of the following is not the” gives SAS.,Mathematics,GE1FH
"If the distance of a tangent to a circle from its centre is 4 cm, then the length of diameter of the circle is",2 cm,4 cm,8 cm,16 cm,8 cm,The coordinate formula for “If the distance of a tangent to” gives 8 cm.,Mathematics,GE1FH
The discriminant of the quadratic equation 2x2 3x 5 = 0 is,31,49,7,9. The equation x + = 3 (x 0) is expressed as a quadratic equation in the form of ax2 + bx + c = 0. The value of a b + c is,49,Substituting the given values for “The discriminant of the quadratic equation 2x2” gives 49.,Mathematics,GE1FH
The number of red balls in a bag is 10 more than the number of black 3 balls. If the probability of drawing a red ball at random from this bag is — 5' then the total number of balls in the bag is : 1 1 1 1,50,60,80,40,50,Favourable outcomes divided by all equally likely outcomes gives 50.,Mathematics,H4EFG
"In the adjoining figure, AB is the chord of larger circle which touches the smaller circle at P. If length of AB diameter of inner circle 2 r, then the diameter of larger circle is : O P 1 B On the top face of the wooden cube of side 7 cm, hemispherical depressions of radius 0.35 cm are to be formed by taking out the wood. The maximum number of depressions that can be formed is",400,100,20,10 The cumulative frequency for calculating median is obtained by adding the frequencies of all the,10 The cumulative frequency for calculating median is obtained by adding the frequencies of all the,The relevant circle measure for “In the adjoining figure AB is the” is 10 The cumulative frequency for calculating median is obtained by adding the frequencies of all the.,Mathematics,H4EFG
"A 30 m rope is stretched from the top of a pole to the ground. If it makes an angle of 60° with the ground, the height of the pole is",10√3 m,30√3 m,15 m,15√3 m,15√3 m,Substituting the given values for “A 30 m rope is stretched from” gives 15√3 m.,Mathematics,H4EFG
The HCF of 960 and 432 is,48,54,72,36,48,Prime factorisation of the stated numbers gives 48.,Mathematics,NL1KM
The length of the arc of a sector of radius 21 cm and central angle 60° is,22 cm,44 cm,88 cm,11 cm,22 cm,The relevant circle measure for “The length of the arc of a” is 22 cm.,Mathematics,NL1KM
(HCF × LCM) for the numbers 70 and 40 is:,10,280,2800,70,2800,Prime factorisation of the stated numbers gives 2800.,Mathematics,WX1YZ/1
"From a well-shuffled deck of 52 playing cards, a ca rd is drawn at random. What is the probability of getting a red queen?",1 52,1 26,1 13,12 13,1 26,Favourable outcomes divided by all equally likely outcomes gives 1 26.,Mathematics,WX1YZ/1
How many tangents can be drawn to a circle from a point on it?,One,Two,Infinite,Zero,One,Favourable outcomes divided by all equally likely outcomes gives One.,Mathematics,WX1YZ/1
"If ∆ABC ∼ ∆DEF and ∠ A = 47 o, ∠ E = 83 o, then ∠ C is equal:",47 o,50 o,83 o,130 o,50 o,Substituting the given values for “If ABC DEF and A 47 o” gives 50 o.,Mathematics,WX1YZ/1
"If the radius of a semi-circular protractor is 7cm , then its perimeter is:",11 cm,14 cm,22 cm,36 cm,36 cm,Substituting the given values for “If the radius of a semi circular” gives 36 cm.,Mathematics,WX1YZ/1
The angle of elevation of the top of a 30 m high tower at a point 30 m away from the base of the tower is:,30 o,45 o,60 o,90 o,45 o,Substituting the given values for “The angle of elevation of the top” gives 45 o.,Mathematics,WX1YZ/1
The length of the arc of a circle of radius 14 cm which subtends an angle of 60 o at the centre of the circle is:,44 3 cm,88 3 cm,308 3 cm,616 3 cm,44 3 cm,The relevant circle measure for “The length of the arc of a” is 44 3 cm.,Mathematics,WX1YZ/1
"The mode of the numbers 2, 3, 3, 4, 5, 4, 4, 5, 3, 4, 2, 6, 7 is:",2,3,4,5,4,Substituting the given data in the statistics formula gives 4.,Mathematics,WX1YZ/1
The pair of linear equations x + 2 y + 5 = 0 and − 3x − 6y + 1 = 0 has:,a unique solution,exactly two solutions,infinitely many solutions,no solution,no solution,Substituting the given values for “The pair of linear equations x 2” gives no solution.,Mathematics,WX1YZ/1
Which of the following cannot be the probability of an event?,0.1,5 3,3%,1 3,5 3,Favourable outcomes divided by all equally likely outcomes gives 5 3.,Mathematics,WX1YZ/1
Which of the following is not a quadratic equation?,2( x −1) 2 = 4 x2 − 2x +,2 x − x 2 = x2 + 5,( 2 x + 3 )2 + x2 = 3 x2 − 5x,( x2 +2x) 2 = x 4 + 3 + 4x3,( 2 x + 3 )2 + x2 = 3 x2 − 5x,Substituting the given values for “Which of the following is not a” gives ( 2 x + 3 )2 + x2 = 3 x2 − 5x.,Mathematics,WX1YZ/1
(HCF × LCM) for the numbers 30 and 70 is:,2100,21,210,70,2100,Prime factorisation of the stated numbers gives 2100.,Mathematics,WX1YZ/1
"From a well-shuffled deck of 52 cards, a card is d rawn at random. What is the probability of getting king of hearts?",1 52,1 26,1 13,12 13,1 52,Favourable outcomes divided by all equally likely outcomes gives 1 52.,Mathematics,WX1YZ/1
"Let E be an event such that P(not E) = 1 5 , then P(E) is equal to:",1 5,2 5,0,4 5,4 5,Substituting the given values for “Let E be an event such that” gives 4 5.,Mathematics,WX1YZ/1
The angle of elevation of the top of a 15 m high t ower at a point 15 3 m away from the base of the tower is:,30 o,45 o,60 o,90 o,30 o,Substituting the given values for “The angle of elevation of the top” gives 30 o.,Mathematics,WX1YZ/1
A circle of radius 5.2 cm has two tangents AB and CD parallel to each other. What is the distance between the two tangents?,5.2 cm,10.4 cm,20.8 cm,can’t find,10.4 cm,The coordinate formula for “A circle of radius 5 2 cm” gives 10.4 cm.,Mathematics,WX1YZ/1
The number of polynomials having zeroes − 3 and 4 is:,1,2,3,more than 3,more than 3,Substituting the given values for “The number of polynomials having zeroes 3” gives more than 3.,Mathematics,WX1YZ/1
What is the length of arc of a circle of radius 7 cm which subtends an angle of 90 o at the centre of the circle?,22 cm,11 cm,77 2 cm,11 2 cm,11 cm,The relevant circle measure for “What is the length of arc of” is 11 cm.,Mathematics,WX1YZ/1
9 sec² A − 9 tan² A is equal to,9,0,8,91,9,Using the standard trigonometric identity gives 9.,Mathematics,WX1YZ/2
"A die is rolled once. The probability that a composite number comes up, is",21,32,31,0,31,Favourable outcomes divided by all equally likely outcomes gives 31.,Mathematics,WX1YZ/2
"A solid is of the form of a of the same radius. If the height of the cone is the same as the diameter of its base, then the volume of the solid is",r3,34r3,3r3,32r3,34r3,The stated mensuration formula evaluates to 34r3.,Mathematics,WX1YZ/2
"From a point P, two tangents PQ and PR are drawn to a circle with centre at O. T is a point on the major arc QR of the circle. If QPR = 50, then QTR equals",50,130,65,90,65,Favourable outcomes divided by all equally likely outcomes gives 65.,Mathematics,WX1YZ/2
Graph of a polynomial p(x) is given in the figure. The number of zeroes of p(x) is,2,3,4,5,2,Substituting the given values for “Graph of a polynomial p x is” gives 2.,Mathematics,WX1YZ/2
"How many terms are there in the A.P. given below ? 14, 19, 24, 29, ....., 119",18,14,22,21,22,Applying the arithmetic-progression relation gives 22.,Mathematics,WX1YZ/2
"If tan A = 52, then the value of Asin1 Acos122 is",425,254,54,45,254,Using the standard trigonometric identity gives 254.,Mathematics,WX1YZ/2
"If the HCF of 360 and 64 is 8, then their LCM is",2480,2780,512,2880,2880,Prime factorisation of the stated numbers gives 2880.,Mathematics,WX1YZ/2
